Coyote Lengths
93
97
92
101.6
93
84.5
102.5
97.8
91
98
93.5
91.7
90.2
91.5
80
86.4
91.4
83.5
88
71
81.3
88.5
86.5
90
84
89.5
84
85
87
88
86.5
96
87
93.5
93.5
90
85
97
86
73.7
